#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
PDENDC454_27838	1196323.ALKF01000128_gene4626	7.87e-80	239.0	COG2153@1|root,COG2153@2|Bacteria,1VA2J@1239|Firmicutes,4HKF5@91061|Bacilli,26WU0@186822|Paenibacillaceae	91061|Bacilli	S	GCN5 family acetyltransferase	yjcF	GO:0003674,GO:0003824,GO:0016740,GO:0016746,GO:0016747	-	-	-	-	-	-	-	-	-	-	Acetyltransf_10
PDENDC454_27843	1536775.H70737_11665	8.94e-39	130.0	2E59K@1|root,3301W@2|Bacteria,1VF4H@1239|Firmicutes,4HPY9@91061|Bacilli,26Z73@186822|Paenibacillaceae	91061|Bacilli	S	Protein of unknown function (DUF3892)	ywsA	-	-	-	-	-	-	-	-	-	-	-	DUF3892
PDENDC454_27848	1196323.ALKF01000128_gene4628	7.38e-121	351.0	COG1234@1|root,COG1234@2|Bacteria,1V1J7@1239|Firmicutes,4IQEG@91061|Bacilli,276BZ@186822|Paenibacillaceae	91061|Bacilli	S	Metallo-beta-lactamase superfamily	-	-	-	-	-	-	-	-	-	-	-	-	Lactamase_B_2
PDENDC454_27853	1117108.PAALTS15_02317	4.33e-84	254.0	2D900@1|root,32TSA@2|Bacteria,1VCTG@1239|Firmicutes,4HKMG@91061|Bacilli,26UPJ@186822|Paenibacillaceae	91061|Bacilli	S	copper amine oxidase	-	-	-	-	-	-	-	-	-	-	-	-	Cu_amine_oxidN1
PDENDC454_27858	1196323.ALKF01000128_gene4632	4.08e-44	145.0	COG3906@1|root,COG3906@2|Bacteria,1VF5Z@1239|Firmicutes,4HKNX@91061|Bacilli,26XDN@186822|Paenibacillaceae	91061|Bacilli	S	Protein of unknown function (DUF1292)	-	-	-	-	-	-	-	-	-	-	-	-	DUF1292
PDENDC454_27863	1196323.ALKF01000128_gene4633	1.33e-75	228.0	2AN64@1|root,31D41@2|Bacteria,1V7Z3@1239|Firmicutes,4HJDV@91061|Bacilli,26XMA@186822|Paenibacillaceae	91061|Bacilli	S	Domain of unknown function (DUF1885)	-	-	-	-	-	-	-	-	-	-	-	-	DUF1885
PDENDC454_27868	1196323.ALKF01000128_gene4635	0.0	881.0	COG1982@1|root,COG1982@2|Bacteria,1TNZ9@1239|Firmicutes,4HBGC@91061|Bacilli,26TEU@186822|Paenibacillaceae	91061|Bacilli	E	Arginine decarboxylase	speA	GO:0003674,GO:0003824,GO:0006082,GO:0006520,GO:0006807,GO:0008150,GO:0008152,GO:0008923,GO:0009987,GO:0016829,GO:0016830,GO:0016831,GO:0019752,GO:0043436,GO:0044237,GO:0044238,GO:0044281,GO:0071704,GO:1901564	4.1.1.17,4.1.1.18,4.1.1.19	ko:K01581,ko:K01582,ko:K01585	ko00310,ko00330,ko00480,ko00960,ko01100,ko01110,ko01130,map00310,map00330,map00480,map00960,map01100,map01110,map01130	M00133,M00134	R00462,R00566,R00670	RC00299	ko00000,ko00001,ko00002,ko01000	-	-	-	OKR_DC_1,OKR_DC_1_C
PDENDC454_27873	1196323.ALKF01000128_gene4636	3.65e-225	627.0	COG0477@1|root,COG2814@2|Bacteria,1TS6K@1239|Firmicutes,4HB1V@91061|Bacilli,26RFG@186822|Paenibacillaceae	91061|Bacilli	EGP	Permeases of the major facilitator superfamily	tetA_3	-	-	-	-	-	-	-	-	-	-	-	MFS_1,MFS_1_like,Sugar_tr
PDENDC454_27878	1196323.ALKF01000128_gene4637	1.13e-104	307.0	COG4493@1|root,COG4493@2|Bacteria,1UY83@1239|Firmicutes,4HEDB@91061|Bacilli,26RPM@186822|Paenibacillaceae	91061|Bacilli	S	Belongs to the UPF0637 family	yktB	-	-	-	-	-	-	-	-	-	-	-	DUF1054
PDENDC454_27883	1196323.ALKF01000128_gene4638	2.08e-101	298.0	2DEJ3@1|root,2ZN6I@2|Bacteria,1W6FY@1239|Firmicutes,4HZSG@91061|Bacilli,26USY@186822|Paenibacillaceae	91061|Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PDENDC454_27888	1196323.ALKF01000128_gene4639	0.0	868.0	COG0362@1|root,COG0362@2|Bacteria,1TP4I@1239|Firmicutes,4H9NC@91061|Bacilli,26SC8@186822|Paenibacillaceae	91061|Bacilli	G	Catalyzes the oxidative decarboxylation of 6- phosphogluconate to ribulose 5-phosphate and CO(2), with concomitant reduction of NADP to NADPH	gnd	-	1.1.1.343,1.1.1.44	ko:K00033	ko00030,ko00480,ko01100,ko01110,ko01120,ko01130,ko01200,map00030,map00480,map01100,map01110,map01120,map01130,map01200	M00004,M00006	R01528,R10221	RC00001,RC00539	ko00000,ko00001,ko00002,ko01000	-	-	-	6PGD,NAD_binding_2
PDENDC454_27893	1196323.ALKF01000128_gene4640	1.63e-38	131.0	2ETYQ@1|root,33MFV@2|Bacteria,1VPBR@1239|Firmicutes,4HS9I@91061|Bacilli,2701B@186822|Paenibacillaceae	91061|Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PDENDC454_27898	1117108.PAALTS15_02267	3.96e-55	178.0	COG0703@1|root,COG0703@2|Bacteria,1VA6Z@1239|Firmicutes,4HKD6@91061|Bacilli,26Y94@186822|Paenibacillaceae	91061|Bacilli	E	Catalyzes the specific phosphorylation of the 3-hydroxyl group of shikimic acid using ATP as a cosubstrate	aroK	GO:0000287,GO:0003674,GO:0003824,GO:0004765,GO:0005488,GO:0006082,GO:0006520,GO:0006725,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009072,GO:0009073,GO:0009987,GO:0016053,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0019438,GO:0019632,GO:0019752,GO:0032787,GO:0043167,GO:0043169,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0046394,GO:0046872,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901615	2.7.1.71	ko:K00891	ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230	M00022	R02412	RC00002,RC00078	ko00000,ko00001,ko00002,ko01000	-	-	-	SKI
PDENDC454_27903	1117108.PAALTS15_02262	9.52e-51	162.0	COG0607@1|root,COG0607@2|Bacteria,1VES3@1239|Firmicutes,4HNRE@91061|Bacilli,26Z8D@186822|Paenibacillaceae	91061|Bacilli	P	Sulfurtransferase	ytwF	-	-	-	-	-	-	-	-	-	-	-	Rhodanese
PDENDC454_27908	1196323.ALKF01000128_gene4643	6.67e-271	746.0	COG0128@1|root,COG0128@2|Bacteria,1TPIH@1239|Firmicutes,4HBHZ@91061|Bacilli,26TYT@186822|Paenibacillaceae	91061|Bacilli	E	Catalyzes the transfer of the enolpyruvyl moiety of phosphoenolpyruvate (PEP) to the 5-hydroxyl of shikimate-3- phosphate (S3P) to produce enolpyruvyl shikimate-3-phosphate and inorganic phosphate	aroA	-	2.5.1.19	ko:K00800	ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230	M00022	R03460	RC00350	ko00000,ko00001,ko00002,ko01000	-	-	-	EPSP_synthase
PDENDC454_27913	1196323.ALKF01000128_gene4644	1.93e-80	240.0	COG1832@1|root,COG1832@2|Bacteria,1V7C7@1239|Firmicutes,4HIZT@91061|Bacilli,26XES@186822|Paenibacillaceae	91061|Bacilli	S	CoA-binding protein	yneT	-	-	ko:K06929	-	-	-	-	ko00000	-	-	-	CoA_binding_2
PDENDC454_27738	1117108.PAALTS15_27309	1.14e-124	357.0	COG0522@1|root,COG0522@2|Bacteria,1TR0J@1239|Firmicutes,4HAC9@91061|Bacilli,26S05@186822|Paenibacillaceae	91061|Bacilli	J	One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the body of the 30S subunit	rpsD	GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005840,GO:0006417,GO:0006450,GO:0008150,GO:0009889,GO:0009891,GO:0009893,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010608,GO:0010628,GO:0015935,GO:0019222,GO:0019843,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0032268,GO:0032270,GO:0032991,GO:0034248,GO:0034250,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044446,GO:0044464,GO:0045727,GO:0045903,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0051171,GO:0051173,GO:0051246,GO:0051247,GO:0060255,GO:0065007,GO:0065008,GO:0080090,GO:0097159,GO:1901363,GO:1990904,GO:2000112	-	ko:K02986	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_S4,S4
PDENDC454_27743	1196323.ALKF01000205_gene4053	0.0	885.0	COG2199@1|root,COG2203@1|root,COG2199@2|Bacteria,COG2203@2|Bacteria,1TQ2X@1239|Firmicutes,4HA6T@91061|Bacilli,26RBJ@186822|Paenibacillaceae	91061|Bacilli	T	Diguanylate cyclase	ytrP	-	-	-	-	-	-	-	-	-	-	-	GAF_2,GAF_3,GGDEF
PDENDC454_27748	1196323.ALKF01000205_gene4054	2.21e-74	234.0	2904C@1|root,30543@2|Bacteria,1TXNV@1239|Firmicutes,4IF15@91061|Bacilli,2707T@186822|Paenibacillaceae	91061|Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PDENDC454_27753	1196323.ALKF01000205_gene4055	2.1e-249	686.0	COG2309@1|root,COG2309@2|Bacteria,1TP65@1239|Firmicutes,4HBUQ@91061|Bacilli,26SBU@186822|Paenibacillaceae	91061|Bacilli	E	aminopeptidase	ampS5	-	-	ko:K19689	-	-	-	-	ko00000,ko01000,ko01002	-	-	-	Peptidase_M29
PDENDC454_27758	1196323.ALKF01000205_gene4056	3.49e-44	144.0	COG1925@1|root,COG1925@2|Bacteria,1VIBQ@1239|Firmicutes,4HQA4@91061|Bacilli,26Z0U@186822|Paenibacillaceae	91061|Bacilli	G	PTS sugar transporter	hpr1	-	-	ko:K11189	-	-	-	-	ko00000,ko02000	4.A.2.1	-	-	PTS-HPr
PDENDC454_27763	1196323.ALKF01000205_gene4057	1.24e-51	164.0	COG4838@1|root,COG4838@2|Bacteria,1VAXB@1239|Firmicutes,4HKIX@91061|Bacilli,26YCT@186822|Paenibacillaceae	91061|Bacilli	S	Belongs to the UPF0358 family	ylaN	-	-	-	-	-	-	-	-	-	-	-	DUF1507
PDENDC454_27768	1117108.PAALTS15_27279	4.05e-204	570.0	COG0387@1|root,COG0387@2|Bacteria,1TQN2@1239|Firmicutes,4HB3X@91061|Bacilli,26QHG@186822|Paenibacillaceae	91061|Bacilli	P	calcium proton	cax	GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006812,GO:0006816,GO:0008150,GO:0008324,GO:0015075,GO:0015077,GO:0015078,GO:0015085,GO:0015291,GO:0015297,GO:0015298,GO:0015299,GO:0015318,GO:0015368,GO:0015369,GO:0015491,GO:0015672,GO:0016020,GO:0016021,GO:0022804,GO:0022857,GO:0022890,GO:0030001,GO:0031224,GO:0031226,GO:0034220,GO:0044425,GO:0044459,GO:0044464,GO:0046873,GO:0051139,GO:0051179,GO:0051234,GO:0055085,GO:0070588,GO:0070838,GO:0071944,GO:0072511,GO:0098655,GO:0098660,GO:0098662,GO:0099516,GO:1902600	-	ko:K07300	-	-	-	-	ko00000,ko02000	2.A.19	-	-	Na_Ca_ex
PDENDC454_27773	1117108.PAALTS15_27274	5.39e-75	225.0	COG1302@1|root,COG1302@2|Bacteria,1V82U@1239|Firmicutes,4HIMU@91061|Bacilli,26XG3@186822|Paenibacillaceae	91061|Bacilli	S	Protein conserved in bacteria	yqhY3	-	-	-	-	-	-	-	-	-	-	-	Asp23
PDENDC454_27778	1196323.ALKF01000205_gene4060	1.45e-231	645.0	COG0772@1|root,COG0772@2|Bacteria,1TPT7@1239|Firmicutes,4HAEV@91061|Bacilli,26R06@186822|Paenibacillaceae	91061|Bacilli	D	Belongs to the SEDS family	ftsW	-	-	ko:K03588	ko04112,map04112	-	-	-	ko00000,ko00001,ko02000,ko03036	2.A.103.1	-	-	FTSW_RODA_SPOVE
PDENDC454_27783	1196323.ALKF01000205_gene4061	3.23e-65	199.0	2AHI2@1|root,317VK@2|Bacteria,1V6HY@1239|Firmicutes,4HI0R@91061|Bacilli,26YKD@186822|Paenibacillaceae	91061|Bacilli	S	YugN-like family	-	-	-	-	-	-	-	-	-	-	-	-	YugN
PDENDC454_27788	1196323.ALKF01000205_gene4062	1.29e-211	593.0	COG1473@1|root,COG1473@2|Bacteria,1TPD7@1239|Firmicutes,4H9WQ@91061|Bacilli,26R2Z@186822|Paenibacillaceae	91061|Bacilli	E	Peptidase, M20	yhaA3	-	-	ko:K01436	-	-	-	-	ko00000,ko01000,ko01002	-	-	-	M20_dimer,Peptidase_M20
PDENDC454_27793	1196323.ALKF01000205_gene4063	6.27e-67	206.0	COG0517@1|root,COG0517@2|Bacteria,1V9ZB@1239|Firmicutes,4HHE6@91061|Bacilli,26YR8@186822|Paenibacillaceae	91061|Bacilli	S	Domain in cystathionine beta-synthase and other proteins.	ylbB	-	-	-	-	-	-	-	-	-	-	-	CBS
PDENDC454_27798	1196323.ALKF01000205_gene4064	5.27e-309	853.0	COG1061@1|root,COG1061@2|Bacteria,1TPDM@1239|Firmicutes,4HB32@91061|Bacilli,26UKS@186822|Paenibacillaceae	91061|Bacilli	L	helicase	-	-	3.6.4.12	ko:K10843	ko03022,ko03420,map03022,map03420	M00290	-	-	ko00000,ko00001,ko00002,ko01000,ko03021,ko03400	-	-	-	ERCC3_RAD25_C,Helicase_C_3,ResIII
PDENDC454_27803	1196323.ALKF01000205_gene4065	7.13e-200	583.0	2EDFC@1|root,337BM@2|Bacteria,1VHWX@1239|Firmicutes,4IU1T@91061|Bacilli,277GA@186822|Paenibacillaceae	91061|Bacilli	S	Helicase conserved C-terminal domain	-	-	-	-	-	-	-	-	-	-	-	-	Helicase_C_3
PDENDC454_27808	1117108.PAALTS15_27239	3.21e-68	209.0	COG3679@1|root,COG3679@2|Bacteria,1V3R6@1239|Firmicutes,4HGYS@91061|Bacilli,26U06@186822|Paenibacillaceae	91061|Bacilli	S	Belongs to the UPF0342 family	ylbF	-	-	-	-	-	-	-	-	-	-	-	Com_YlbF
PDENDC454_27813	1196323.ALKF01000205_gene4067	2.95e-46	149.0	COG4471@1|root,COG4471@2|Bacteria,1VF52@1239|Firmicutes,4HNTH@91061|Bacilli,26YYZ@186822|Paenibacillaceae	91061|Bacilli	S	Protein conserved in bacteria	ylbG	-	-	-	-	-	-	-	-	-	-	-	DUF2129
PDENDC454_27818	1196323.ALKF01000205_gene4068	9.38e-86	253.0	2BVE1@1|root,32QTV@2|Bacteria,1V8KQ@1239|Firmicutes,4HIPM@91061|Bacilli,26X11@186822|Paenibacillaceae	91061|Bacilli	S	Periplasmic protein	-	-	-	-	-	-	-	-	-	-	-	-	-
PDENDC454_27823	1196323.ALKF01000205_gene4069	3.45e-168	476.0	COG0583@1|root,COG0583@2|Bacteria,1TP6T@1239|Firmicutes,4HC4T@91061|Bacilli,26RKD@186822|Paenibacillaceae	91061|Bacilli	K	Transcriptional regulator	lysR3	-	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
PDENDC454_27828	1196323.ALKF01000205_gene4070	1.2e-153	439.0	COG0613@1|root,COG0613@2|Bacteria,1TPI5@1239|Firmicutes,4HB6B@91061|Bacilli,26S37@186822|Paenibacillaceae	91061|Bacilli	J	Metal-dependent phosphoesterase	php	-	3.1.3.97	ko:K07053	-	-	R00188,R11188	RC00078	ko00000,ko01000	-	-	-	PHP
PDENDC454_27633	1196323.ALKF01000203_gene3706	1.06e-105	326.0	COG1396@1|root,COG1396@2|Bacteria,1VRKW@1239|Firmicutes,4HU3Y@91061|Bacilli,271ZD@186822|Paenibacillaceae	91061|Bacilli	K	DNA-binding protein	-	-	-	-	-	-	-	-	-	-	-	-	HTH_3,SpoOE-like
PDENDC454_27638	1034769.KB910518_gene3430	2.67e-163	466.0	COG0596@1|root,COG0596@2|Bacteria,1VEDI@1239|Firmicutes,4HQQ2@91061|Bacilli,26VR3@186822|Paenibacillaceae	91061|Bacilli	S	Alpha beta hydrolase	-	-	-	-	-	-	-	-	-	-	-	-	Abhydrolase_1,Abhydrolase_6
PDENDC454_27643	743719.PaelaDRAFT_0297	2.57e-91	272.0	COG3226@1|root,COG3226@2|Bacteria,1UJ8S@1239|Firmicutes,4HD7C@91061|Bacilli,277HH@186822|Paenibacillaceae	91061|Bacilli	K	BetI-type transcriptional repressor, C-terminal	-	-	-	-	-	-	-	-	-	-	-	-	TetR_C_6,TetR_N
PDENDC454_27648	717605.Theco_0885	7.15e-151	437.0	COG4974@1|root,COG4974@2|Bacteria,1UMVE@1239|Firmicutes,4IU1M@91061|Bacilli,26U3E@186822|Paenibacillaceae	91061|Bacilli	L	Plasmid pRiA4b ORF-3-like protein	-	-	-	-	-	-	-	-	-	-	-	-	PRiA4_ORF3
PDENDC454_27653	1087481.AGFX01000020_gene2319	6.22e-41	144.0	COG1714@1|root,COG1714@2|Bacteria,1VIH4@1239|Firmicutes,4IRP1@91061|Bacilli,26WTG@186822|Paenibacillaceae	91061|Bacilli	S	RDD family	-	-	-	-	-	-	-	-	-	-	-	-	RDD
PDENDC454_27658	1449063.JMLS01000028_gene178	1.56e-203	565.0	COG1028@1|root,COG1028@2|Bacteria,1TRFB@1239|Firmicutes,4HBF8@91061|Bacilli,26SAT@186822|Paenibacillaceae	91061|Bacilli	IQ	Enoyl-(Acyl carrier protein) reductase	-	-	-	-	-	-	-	-	-	-	-	-	adh_short,adh_short_C2
PDENDC454_27668	1117108.PAALTS15_01882	1.9e-186	521.0	COG3979@1|root,COG3979@2|Bacteria,1UIR1@1239|Firmicutes,4I652@91061|Bacilli,26Q9I@186822|Paenibacillaceae	91061|Bacilli	G	Aids in the defense against invading fungal pathogens by degrading their cell wall chitosan	csn	-	3.2.1.132	ko:K01233	ko00520,ko01100,map00520,map01100	-	R02833	-	ko00000,ko00001,ko01000	-	-	-	Glyco_hydro_46
PDENDC454_27678	1089548.KI783301_gene1215	7.01e-154	455.0	COG1621@1|root,COG1621@2|Bacteria,1TPAE@1239|Firmicutes,4H9Y7@91061|Bacilli,3WEJC@539002|Bacillales incertae sedis	91061|Bacilli	G	Invertase	cscA	-	3.2.1.26	ko:K01193	ko00052,ko00500,ko01100,map00052,map00500,map01100	-	R00801,R00802,R02410,R03635,R03921,R06088	RC00028,RC00077	ko00000,ko00001,ko01000	-	GH32	-	Glyco_hydro_32C,Glyco_hydro_32N
PDENDC454_27683	1122919.KB905637_gene428	2.03e-118	347.0	COG0395@1|root,COG0395@2|Bacteria,1TR45@1239|Firmicutes,4HCEH@91061|Bacilli,26TKZ@186822|Paenibacillaceae	91061|Bacilli	G	Sugar ABC transporter permease	-	-	-	ko:K10119	ko02010,map02010	M00196	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.1.28	-	-	BPD_transp_1
PDENDC454_27688	1122919.KB905637_gene427	4.17e-146	419.0	COG1175@1|root,COG1175@2|Bacteria,1TP1Q@1239|Firmicutes,4HCFJ@91061|Bacilli,26QC4@186822|Paenibacillaceae	91061|Bacilli	G	transporter, permease	-	-	-	ko:K10118	ko02010,map02010	M00196	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.1.28	-	-	BPD_transp_1
PDENDC454_27693	1122919.KB905637_gene426	4.08e-174	500.0	COG1653@1|root,COG1653@2|Bacteria,1TQHT@1239|Firmicutes,4HAH2@91061|Bacilli,26T4K@186822|Paenibacillaceae	91061|Bacilli	G	ABC-type sugar transport system, periplasmic component	msmE5	-	-	ko:K10117	ko02010,map02010	M00196	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.1.28	-	-	SBP_bac_8
PDENDC454_27698	1395587.P364_0117285	8.36e-133	387.0	COG1609@1|root,COG1609@2|Bacteria,1TQ7K@1239|Firmicutes,4H9V1@91061|Bacilli,26UAK@186822|Paenibacillaceae	91061|Bacilli	K	LacI family transcriptional regulator	rbsR3	-	-	ko:K02529,ko:K03484	-	-	-	-	ko00000,ko03000	-	-	-	LacI,Peripla_BP_3
PDENDC454_27703	1117108.PAALTS15_16546	2.27e-199	560.0	COG0624@1|root,COG0624@2|Bacteria,1TPSM@1239|Firmicutes,4HD69@91061|Bacilli,26TVQ@186822|Paenibacillaceae	91061|Bacilli	E	Peptidase dimerisation domain	-	-	3.4.17.11	ko:K01295	-	-	-	-	ko00000,ko01000,ko01002	-	-	-	M20_dimer,Peptidase_M20,Peptidase_M28
PDENDC454_27708	1117108.PAALTS15_16551	4.95e-164	462.0	COG1177@1|root,COG1177@2|Bacteria,1TR8H@1239|Firmicutes,4IQNI@91061|Bacilli	91061|Bacilli	P	Binding-protein-dependent transport system inner membrane component	-	-	-	ko:K02053	ko02024,map02024	M00193	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.11	-	-	BPD_transp_1
PDENDC454_27713	1196323.ALKF01000198_gene2394	1.05e-163	462.0	COG1176@1|root,COG1176@2|Bacteria,1TQVF@1239|Firmicutes,4HB2Z@91061|Bacilli,26UX6@186822|Paenibacillaceae	91061|Bacilli	E	ABC transporter permease	-	-	-	ko:K02054	ko02024,map02024	M00193	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.11	-	-	BPD_transp_1
PDENDC454_27718	1117108.PAALTS15_16561	3.99e-207	579.0	COG3842@1|root,COG3842@2|Bacteria,1TP2M@1239|Firmicutes,4H9MS@91061|Bacilli,26QTF@186822|Paenibacillaceae	91061|Bacilli	E	Part of the ABC transporter complex PotABCD involved in spermidine putrescine import. Responsible for energy coupling to the transport system	-	-	3.6.3.30	ko:K02010,ko:K02052	ko02010,ko02024,map02010,map02024	M00190,M00193	-	-	ko00000,ko00001,ko00002,ko01000,ko02000	3.A.1.10,3.A.1.11	-	-	ABC_tran,TOBE_2
PDENDC454_27723	1117108.PAALTS15_16566	2.73e-217	605.0	COG1840@1|root,COG1840@2|Bacteria,1V0ST@1239|Firmicutes,4HHU3@91061|Bacilli,26U27@186822|Paenibacillaceae	91061|Bacilli	P	Bacterial extracellular solute-binding protein	-	-	-	ko:K02055	ko02024,map02024	M00193	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.11	-	-	SBP_bac_6,SBP_bac_8
PDENDC454_27728	1117108.PAALTS15_16571	1.08e-147	419.0	COG1414@1|root,COG1414@2|Bacteria,1VSBD@1239|Firmicutes,4HT2Z@91061|Bacilli,26V1A@186822|Paenibacillaceae	91061|Bacilli	K	helix_turn_helix isocitrate lyase regulation	-	-	-	-	-	-	-	-	-	-	-	-	HTH_IclR,IclR
PDENDC454_27733	1117108.PAALTS15_16576	1.08e-158	468.0	COG4945@1|root,COG4945@2|Bacteria,1UNRC@1239|Firmicutes,4IUMB@91061|Bacilli,277P1@186822|Paenibacillaceae	91061|Bacilli	G	Copper amine oxidase N-terminal domain	-	-	-	-	-	-	-	-	-	-	-	-	Cu_amine_oxidN1
PDENDC454_27608	1196323.ALKF01000177_gene1117	8.21e-157	446.0	COG0524@1|root,COG0524@2|Bacteria,1TQRC@1239|Firmicutes,4HA87@91061|Bacilli,26UNI@186822|Paenibacillaceae	91061|Bacilli	G	Catalyzes the phosphorylation of ribose at O-5 in a reaction requiring ATP and magnesium. The resulting D-ribose-5- phosphate can then be used either for sythesis of nucleotides, histidine, and tryptophan, or as a component of the pentose phosphate pathway	rbsK	-	2.7.1.15	ko:K00852	ko00030,map00030	-	R01051,R02750	RC00002,RC00017	ko00000,ko00001,ko01000	-	-	-	PfkB
PDENDC454_27613	1196323.ALKF01000150_gene1340	1.86e-269	744.0	COG3069@1|root,COG3069@2|Bacteria,1TRIV@1239|Firmicutes,4IQY5@91061|Bacilli,276JU@186822|Paenibacillaceae	1239|Firmicutes	C	C4-dicarboxylate anaerobic carrier	dcuC	-	-	ko:K03326	-	-	-	-	ko00000,ko02000	2.A.61.1	-	-	DcuC
PDENDC454_27618	1196323.ALKF01000177_gene1115	8.83e-183	513.0	COG1957@1|root,COG1957@2|Bacteria,1TSSS@1239|Firmicutes,4HB17@91061|Bacilli,275F5@186822|Paenibacillaceae	91061|Bacilli	F	Hydrolyzes with equal efficiency cytidine or uridine to ribose and cytosine or uracil, respectively	rihC	-	3.2.2.1	ko:K01239,ko:K01250,ko:K12700	ko00230,ko00760,ko01100,map00230,map00760,map01100	-	R01245,R01273,R01677,R01770,R02143	RC00033,RC00063,RC00122,RC00318,RC00485	ko00000,ko00001,ko01000	-	-	-	IU_nuc_hydro
PDENDC454_27623	1196323.ALKF01000177_gene1114	3.23e-197	551.0	COG1609@1|root,COG1609@2|Bacteria,1TQ7K@1239|Firmicutes,4H9V1@91061|Bacilli,26UAK@186822|Paenibacillaceae	91061|Bacilli	K	LacI family transcriptional regulator	rbsR	-	-	ko:K02529,ko:K03484	-	-	-	-	ko00000,ko03000	-	-	-	LacI,Peripla_BP_1,Peripla_BP_3
PDENDC454_27628	1122927.KB895424_gene2178	3.74e-208	609.0	COG2304@1|root,COG2304@2|Bacteria,1V1ZB@1239|Firmicutes,4HR4M@91061|Bacilli	91061|Bacilli	M	von Willebrand factor (vWF) type A domain	-	-	-	-	-	-	-	-	-	-	-	-	VWA_2
PDENDC454_27508	1117108.PAALTS15_18593	6.91e-264	741.0	COG4219@1|root,COG4219@2|Bacteria,1TP3Z@1239|Firmicutes,4HB9X@91061|Bacilli,26XA3@186822|Paenibacillaceae	91061|Bacilli	KT	BlaR1 peptidase M56	-	-	-	ko:K02172	ko01501,map01501	M00627	-	-	ko00000,ko00001,ko00002,ko01002,ko01504	-	-	-	DUF4309,Peptidase_M56
PDENDC454_27513	1196323.ALKF01000107_gene5168	8.76e-80	238.0	COG3682@1|root,COG3682@2|Bacteria,1TYRD@1239|Firmicutes,4I7W9@91061|Bacilli,26XWM@186822|Paenibacillaceae	91061|Bacilli	K	Penicillinase repressor	-	-	-	-	-	-	-	-	-	-	-	-	Penicillinase_R
PDENDC454_27518	1007103.AFHW01000080_gene1766	1.34e-97	305.0	COG1073@1|root,COG1073@2|Bacteria,1V38K@1239|Firmicutes,4HE7V@91061|Bacilli,26ZBW@186822|Paenibacillaceae	91061|Bacilli	S	Acyl-CoA thioester hydrolase/BAAT N-terminal region	-	-	-	ko:K06889	-	-	-	-	ko00000	-	-	-	BAAT_C,Bile_Hydr_Trans
PDENDC454_27523	1117108.PAALTS15_11154	5.77e-91	270.0	COG5516@1|root,COG5516@2|Bacteria	2|Bacteria	S	CGNR zinc finger	-	-	-	-	-	-	-	-	-	-	-	-	ABATE,zf-CGNR
PDENDC454_27528	1117108.PAALTS15_11149	5.22e-231	641.0	COG0596@1|root,COG0596@2|Bacteria,1TR20@1239|Firmicutes,4HB02@91061|Bacilli,26S2K@186822|Paenibacillaceae	91061|Bacilli	S	Epoxide hydrolase	-	-	3.3.2.9	ko:K01253	ko00980,ko04976,ko05204,map00980,map04976,map05204	-	R07013,R07014,R07027,R07071,R07072,R07082,R09410,R09417,R09443	RC01447,RC01728,RC01764,RC02528	ko00000,ko00001,ko01000,ko01002	-	-	-	EHN
