,,,,20XA,,20XB,,20XD,,20VB,,20VC,,20VD,,44XC,,44XD,,44XE,,44VA,,44VC,,44VE,,,
AHKH01000097.1,4844,5101,257,99,0.385214008,372,1.447470817,0,0,401,1.560311284,1630,6.342412451,1078,4.194552529,330,1.284046693,384,1.494163424,1403,5.459143969,1656,6.443579767,100,0.389105058,994,3.86770428,PDENDC454_23259,"""unassigned_transcript_1080""; db_xref ""NCBI_GP:EHQ59833.1""; gbkey ""CDS""; locus_tag ""PDENDC454_23259""; note ""COG1925 Phosphotransferase system, HPr-related proteins""; product ""phosphotransferase system, phosphocarrier protein HPr""; protein_id ""EHQ59833.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000097.1,5170,5424,254,51,0.200787402,212,0.834645669,439,1.728346457,0,0,927,3.649606299,0,0,1008,3.968503937,172,0.677165354,0,0,132,0.519685039,34,0.133858268,656,2.582677165,PDENDC454_23264,"""unassigned_transcript_1081""; db_xref ""NCBI_GP:EHQ59834.1""; gbkey ""CDS""; locus_tag ""PDENDC454_23264""; product ""hypothetical protein""; protein_id ""EHQ59834.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000097.1,5427,6137,710,10564,14.87887324,9402,13.24225352,14030,19.76056338,4004,5.63943662,13754,19.37183099,7922,11.15774648,15663,22.06056338,14484,20.4,15188,21.3915493,14445,20.34507042,15483,21.80704225,16749,23.59014085,PDENDC454_23269,"""unassigned_transcript_1082""; db_xref ""NCBI_GP:EHQ59835.1""; gbkey ""CDS""; locus_tag ""PDENDC454_23269""; note ""COG2188 Transcriptional regulators""; product ""GntR family transcriptional regulator""; protein_id ""EHQ59835.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000097.1,6180,7205,1025,15817,15.43121951,15566,15.18634146,14554,14.19902439,10230,9.980487805,16519,16.11609756,8657,8.445853659,13404,13.07707317,12738,12.42731707,12214,11.91609756,9248,9.022439024,12676,12.36682927,13134,12.81365854,PDENDC454_23274,"""unassigned_transcript_1083""; db_xref ""NCBI_GP:EHQ59836.1""; gbkey ""CDS""; locus_tag ""PDENDC454_23274""; note ""COG0524 Sugar kinases, ribokinase family""; product ""carbohydrate kinase, PfkB family protein""; protein_id ""EHQ59836.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000097.1,7201,7953,752,11204,14.89893617,18275,24.3018617,9039,12.01994681,8356,11.11170213,14030,18.65691489,13218,17.57712766,4503,5.988031915,8086,10.75265957,13422,17.84840426,6312,8.393617021,11517,15.31515957,12342,16.41223404,PDENDC454_23279,"""unassigned_transcript_1084""; db_xref ""NCBI_GP:EHQ59837.1""; gbkey ""CDS""; locus_tag ""PDENDC454_23279""; note ""COG0800 2-keto-3-deoxy-6-phosphogluconate aldolase""; product ""hypothetical protein""; protein_id ""EHQ59837.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000097.1,7949,9058,1109,7250,6.5374211,9829,8.862939585,10693,9.642019838,5293,4.77276826,11946,10.77186655,8045,7.254283138,6981,6.294860234,7583,6.837691614,10945,9.869251578,4724,4.259693417,5632,5.078449053,8463,7.631199279,PDENDC454_23284,"""unassigned_transcript_1085""; db_xref ""NCBI_GP:EHQ59838.1""; gbkey ""CDS""; locus_tag ""PDENDC454_23284""; note ""COG1921 Selenocysteine synthase [seryl-tRNASer selenium transferase]""; product ""pyridoxal phosphate-dependent enzyme""; protein_id ""EHQ59838.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000097.1,9015,10142,1127,5593,4.962732919,5177,4.593611358,5354,4.750665484,3495,3.101153505,8402,7.455190772,6124,5.433895297,2588,2.296362023,5380,4.773735581,5424,4.812777285,4933,4.377107365,5656,5.01863354,5783,5.131322094,PDENDC454_23289,"""unassigned_transcript_1086""; db_xref ""NCBI_GP:EHQ59839.1""; gbkey ""CDS""; locus_tag ""PDENDC454_23289""; note ""COG3964 Predicted amidohydrolase""; product ""dihydroorotase""; protein_id ""EHQ59839.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000097.1,10366,10713,347,11930,34.38040346,13855,39.92795389,12220,35.21613833,8107,23.36311239,18667,53.79538905,9474,27.30259366,26629,76.74063401,22368,64.4610951,21125,60.87896254,18348,52.87608069,19897,57.34005764,14581,42.02017291,PDENDC454_23294,"""unassigned_transcript_1087""; db_xref ""NCBI_GP:EHQ59840.1""; gbkey ""CDS""; locus_tag ""PDENDC454_23294""; note ""COG0346 Lactoylglutathione lyase and related lyases""; product ""hypothetical protein""; protein_id ""EHQ59840.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000097.1,10886,11410,524,4764,9.091603053,3361,6.414122137,2719,5.188931298,361,0.688931298,2711,5.173664122,3262,6.22519084,11251,21.47137405,808,1.541984733,2882,5.5,2037,3.88740458,1916,3.65648855,5012,9.564885496,PDENDC454_23299,"""unassigned_transcript_1088""; db_xref ""NCBI_GP:EHQ59841.1""; gbkey ""CDS""; locus_tag ""PDENDC454_23299""; note ""COG1670 Acetyltransferases, including N-acetylases of ribosomal proteins""; product ""acetyltransferase""; protein_id ""EHQ59841.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000097.1,11446,11718,272,859,3.158088235,411,1.511029412,2089,7.680147059,222,0.816176471,674,2.477941176,213,0.783088235,2096,7.705882353,174,0.639705882,1529,5.621323529,288,1.058823529,602,2.213235294,1300,4.779411765,PDENDC454_23304,"""unassigned_transcript_1089""; db_xref ""NCBI_GP:EHQ59842.1""; gbkey ""CDS""; locus_tag ""PDENDC454_23304""; product ""hypothetical protein""; protein_id ""EHQ59842.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000097.1,11757,12863,1106,8685,7.852622061,10927,9.879746835,10539,9.528933092,6265,5.664556962,9392,8.491862568,6974,6.305605787,9976,9.019891501,8231,7.442133816,14710,13.30018083,8593,7.769439421,9533,8.619349005,11764,10.63652803,PDENDC454_23309,"""unassigned_transcript_1090""; db_xref ""NCBI_GP:EHQ59843.1""; gbkey ""CDS""; locus_tag ""PDENDC454_23309""; note ""COG0673 Predicted dehydrogenases and related proteins""; product ""oxidoreductase domain-containing protein""; protein_id ""EHQ59843.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000097.1,12991,13689,698,839,1.202005731,2388,3.421203438,1336,1.914040115,1247,1.786532951,2786,3.991404011,99,0.141833811,7159,10.25644699,2014,2.885386819,2697,3.863896848,1354,1.93982808,792,1.134670487,1990,2.851002865,PDENDC454_23314,"""unassigned_transcript_1091""; db_xref ""NCBI_GP:EHQ59844.1""; gbkey ""CDS""; locus_tag ""PDENDC454_23314""; note ""COG1011 Predicted hydrolase (HAD superfamily)""; product ""HAD-superfamily hydrolase""; protein_id ""EHQ59844.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000097.1,13999,14553,554,11959,21.5866426,11580,20.90252708,8833,15.94404332,4203,7.586642599,15308,27.63176895,8735,15.76714801,5252,9.480144404,7617,13.74909747,8856,15.98555957,5818,10.50180505,3002,5.418772563,6142,11.0866426,PDENDC454_23319,"""unassigned_transcript_1092""; db_xref ""NCBI_GP:EHQ59845.1""; gbkey ""CDS""; locus_tag ""PDENDC454_23319""; note ""COG2320 Uncharacterized conserved protein""; product ""hypothetical protein""; protein_id ""EHQ59845.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000097.1,14817,15443,626,8291,13.24440895,4900,7.827476038,4553,7.273162939,2439,3.896166134,10853,17.3370607,5739,9.167731629,3102,4.955271565,6907,11.03354633,4981,7.95686901,7375,11.78115016,3476,5.552715655,3005,4.800319489,PDENDC454_23324,"""unassigned_transcript_1093""; db_xref ""NCBI_GP:EHQ59846.1""; gbkey ""CDS""; locus_tag ""PDENDC454_23324""; note ""COG2027 D-alanyl-D-alanine carboxypeptidase (penicillin-binding protein 4)""; product ""hypothetical protein""; protein_id ""EHQ59846.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000097.1,15591,15806,215,1783,8.293023256,1197,5.56744186,1305,6.069767442,646,3.004651163,647,3.009302326,151,0.702325581,1100,5.11627907,591,2.748837209,998,4.641860465,1732,8.055813953,122,0.56744186,492,2.288372093,PDENDC454_23329,"""unassigned_transcript_1094""; db_xref ""NCBI_GP:EHQ59847.1""; gbkey ""CDS""; locus_tag ""PDENDC454_23329""; product ""ThiJ/PfpI family protein""; protein_id ""EHQ59847.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000096.1,305,982,677,24733,36.53323486,24205,35.75332349,18424,27.21418021,13543,20.00443131,23228,34.31019202,14825,21.89807976,15801,23.33973412,15104,22.31019202,13660,20.17725258,18755,27.70310192,12992,19.19054653,19558,28.88921713,PDENDC454_23119,"""unassigned_transcript_1095""; db_xref ""NCBI_GP:EHQ59848.1""; gbkey ""CDS""; locus_tag ""PDENDC454_23119""; note ""COG0438 Glycosyltransferase""; product ""hypothetical protein""; protein_id ""EHQ59848.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000096.1,1537,2931,1394,173683,124.5932568,127020,91.11908178,71093,50.99928264,102184,73.30272597,302383,216.9175036,117473,84.27044476,27183,19.5,23805,17.07675753,43097,30.91606887,47428,34.02295552,15605,11.19440459,19679,14.1169297,PDENDC454_23124,"""unassigned_transcript_1096""; db_xref ""NCBI_GP:EHQ59849.1""; gbkey ""CDS""; locus_tag ""PDENDC454_23124""; note ""COG2252 Permeases""; product ""Xanthine/uracil/vitamin C permease""; protein_id ""EHQ59849.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000096.1,3043,4092,1049,158239,150.8474738,99522,94.87321258,65027,61.98951382,97466,92.91325071,290953,277.3622498,120036,114.42898,21833,20.81315539,15049,14.34604385,48665,46.39180172,38552,36.75119161,11159,10.63775024,23070,21.99237369,PDENDC454_23129,"""unassigned_transcript_1097""; db_xref ""NCBI_GP:EHQ59850.1""; gbkey ""CDS""; locus_tag ""PDENDC454_23129""; note ""COG0687 Spermidine/putrescine-binding periplasmic protein""; product ""spermidine/putrescine ABC transporter substrate-binding protein""; protein_id ""EHQ59850.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000096.1,4197,5015,818,9688,11.84352078,5378,6.574572127,6706,8.19804401,2870,3.508557457,17793,21.75183374,6324,7.731051345,3067,3.749388753,1367,1.671149144,7532,9.207823961,2150,2.628361858,1466,1.792176039,3296,4.029339853,PDENDC454_23134,"""unassigned_transcript_1098""; db_xref ""NCBI_GP:EHQ59851.1""; gbkey ""CDS""; locus_tag ""PDENDC454_23134""; note ""COG1176 ABC-type spermidine/putrescine transport system, permease component I""; product ""spermidine/putrescine ABC transporter permease I""; protein_id ""EHQ59851.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000096.1,5024,5812,788,12087,15.33883249,6487,8.232233503,5170,6.560913706,6785,8.610406091,13784,17.49238579,7348,9.324873096,312,0.395939086,1574,1.997461929,2427,3.079949239,4837,6.138324873,1750,2.220812183,3543,4.496192893,PDENDC454_23139,"""unassigned_transcript_1099""; db_xref ""NCBI_GP:EHQ59852.1""; gbkey ""CDS""; locus_tag ""PDENDC454_23139""; note ""COG1177 ABC-type spermidine/putrescine transport system, permease component II""; product ""ABC transporter permease""; protein_id ""EHQ59852.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000096.1,5838,6998,1160,11468,9.886206897,7251,6.250862069,9233,7.959482759,7453,6.425,22579,19.46465517,8429,7.26637931,4911,4.23362069,4539,3.912931034,5559,4.792241379,7589,6.542241379,1536,1.324137931,6062,5.225862069,PDENDC454_23144,"""unassigned_transcript_1100""; db_xref ""NCBI_GP:EHQ59853.1""; gbkey ""CDS""; locus_tag ""PDENDC454_23144""; note ""COG3839 ABC-type sugar transport systems, ATPase components""; product ""ABC transporter ATP-binding protein""; protein_id ""EHQ59853.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000096.1,7090,8802,1712,27571,16.10455607,21226,12.39836449,19641,11.47254673,26535,15.49941589,53242,31.09929907,27106,15.83294393,10924,6.380841121,9509,5.55432243,11220,6.553738318,10396,6.072429907,4952,2.892523364,14972,8.745327103,PDENDC454_23149,"""unassigned_transcript_1101""; db_xref ""NCBI_GP:EHQ59854.1""; gbkey ""CDS""; locus_tag ""PDENDC454_23149""; note ""COG1001 Adenine deaminase""; product ""adenine deaminase""; protein_id ""EHQ59854.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000096.1,9681,10595,914,15738,17.21881838,21725,23.76914661,21944,24.00875274,14971,16.37964989,45692,49.99124726,26619,29.12363239,23394,25.595186,16854,18.43982495,37841,41.40153173,24512,26.81838074,23602,25.82275711,29398,32.16411379,PDENDC454_23154,"""unassigned_transcript_1102""; db_xref ""NCBI_GP:EHQ59855.1""; gbkey ""CDS""; locus_tag ""PDENDC454_23154""; product ""hypothetical protein""; protein_id ""EHQ59855.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000096.1,11108,11287,179,2726,15.22905028,1327,7.413407821,1370,7.653631285,654,3.653631285,4401,24.58659218,689,3.849162011,217,1.212290503,1857,10.37430168,4324,24.15642458,2600,14.52513966,1267,7.078212291,907,5.067039106,PDENDC454_23159,"""unassigned_transcript_1103""; db_xref ""NCBI_GP:EHQ59856.1""; gbkey ""CDS""; locus_tag ""PDENDC454_23159""; product ""hypothetical protein""; protein_id ""EHQ59856.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000096.1,11395,12396,1001,41139,41.0979021,37524,37.48651349,33621,33.58741259,32367,32.33466533,62669,62.60639361,44961,44.91608392,26575,26.54845155,20542,20.52147852,38868,38.82917083,28615,28.58641359,14390,14.37562438,24011,23.98701299,PDENDC454_23164,"""unassigned_transcript_1104""; db_xref ""NCBI_GP:EHQ59857.1""; gbkey ""CDS""; locus_tag ""PDENDC454_23164""; note ""COG1609 Transcriptional regulators""; product ""LacI family transcriptional regulator""; protein_id ""EHQ59857.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000096.1,12607,13407,800,184590,230.7375,108679,135.84875,49828,62.285,248043,310.05375,424825,531.03125,237219,296.52375,31812,39.765,16346,20.4325,24259,30.32375,68473,85.59125,10451,13.06375,67596,84.495,PDENDC454_23169,"""unassigned_transcript_1105""; db_xref ""NCBI_GP:EHQ59858.1""; gbkey ""CDS""; locus_tag ""PDENDC454_23169""; note ""COG3718 Uncharacterized enzyme involved in inositol metabolism""; product ""5-deoxy-glucuronate isomerase""; protein_id ""EHQ59858.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000096.1,13522,14541,1019,168069,164.9352306,98820,96.97742885,45952,45.09519136,225709,221.5004907,428388,420.4003925,219197,215.1099117,31441,30.85475957,18183,17.84396467,41291,40.52109912,95352,93.57409225,9447,9.270853778,69579,68.28164868,PDENDC454_23174,"""unassigned_transcript_1106""; db_xref ""NCBI_GP:EHQ59859.1""; gbkey ""CDS""; locus_tag ""PDENDC454_23174""; note ""COG0673 Predicted dehydrogenases and related proteins""; product ""oxidoreductase, NAD-binding protein""; protein_id ""EHQ59859.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000096.1,14903,15892,989,46612,47.13043478,38138,38.56218402,14696,14.85945399,66005,66.73913043,120775,122.1183013,81098,82,4114,4.159757331,8794,8.891809909,10715,10.83417594,25962,26.25075834,2604,2.632962588,27354,27.65824065,PDENDC454_23179,"""unassigned_transcript_1107""; db_xref ""NCBI_GP:EHQ59860.1""; gbkey ""CDS""; locus_tag ""PDENDC454_23179""; note ""COG0524 Sugar kinases, ribokinase family""; product ""myo-inositol catabolism protein""; protein_id ""EHQ59860.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000096.1,15913,17361,1448,232706,160.7085635,187915,129.7755525,67185,46.39848066,344434,237.8687845,511315,353.1180939,282891,195.3667127,20156,13.9198895,19504,13.46961326,21106,14.57596685,59486,41.08149171,7865,5.431629834,122281,84.44820442,PDENDC454_23184,"""unassigned_transcript_1108""; db_xref ""NCBI_GP:EHQ59861.1""; gbkey ""CDS""; locus_tag ""PDENDC454_23184""; note ""COG1012 NAD-dependent aldehyde dehydrogenases""; product ""methylmalonate-semialdehyde dehydrogenase""; protein_id ""EHQ59861.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000096.1,17379,19310,1931,472385,244.6323149,373591,193.4702227,121759,63.05489384,785155,406.6053858,1145885,593.4153288,713733,369.6183325,39543,20.47799068,46246,23.94924909,29835,15.45054376,126738,65.6333506,20370,10.54893837,317095,164.2128431,PDENDC454_23189,"""unassigned_transcript_1109""; db_xref ""NCBI_GP:EHQ59862.1""; gbkey ""CDS""; locus_tag ""PDENDC454_23189""; note ""COG3962 Acetolactate synthase""; product ""thiamine pyrophosphate central domain-containing protein""; protein_id ""EHQ59862.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000096.1,19418,20311,893,57075,63.9137738,41658,46.64949608,24215,27.11646137,72418,81.09518477,112780,126.2933931,56510,63.28107503,6518,7.298992161,7760,8.68980963,5858,6.559910414,18133,20.30571109,5255,5.884658455,43009,48.16237402,PDENDC454_23194,"""unassigned_transcript_1110""; db_xref ""NCBI_GP:EHQ59863.1""; gbkey ""CDS""; locus_tag ""PDENDC454_23194""; note ""COG1082 Sugar phosphate isomerases/epimerases""; product ""inosose dehydratase""; protein_id ""EHQ59863.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000096.1,20353,21417,1064,57888,54.40601504,54119,50.8637218,34663,32.57800752,73580,69.15413534,134660,126.5601504,80929,76.06109023,10601,9.963345865,6786,6.377819549,5120,4.812030075,23498,22.08458647,6414,6.028195489,44938,42.23496241,PDENDC454_23199,"""unassigned_transcript_1111""; db_xref ""NCBI_GP:EHQ59864.1""; gbkey ""CDS""; locus_tag ""PDENDC454_23199""; note ""COG0673 Predicted dehydrogenases and related proteins""; product ""myo-inositol 2-dehydrogenase""; protein_id ""EHQ59864.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000096.1,21460,23046,1586,118129,74.48234552,88359,55.71185372,58270,36.74022699,148978,93.9331652,247192,155.8587642,139168,87.74779319,18155,11.44703657,23115,14.57440101,17949,11.31715006,46521,29.33228247,11577,7.299495586,76455,48.20617907,PDENDC454_23204,"""unassigned_transcript_1112""; db_xref ""NCBI_GP:EHQ59865.1""; gbkey ""CDS""; locus_tag ""PDENDC454_23204""; note ""COG4146 Predicted symporter""; product ""putative transporter""; protein_id ""EHQ59865.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000096.1,23270,24139,869,13959,16.06329114,13883,15.97583429,9387,10.80207135,8385,9.649021864,18907,21.75719217,8259,9.504027618,13182,15.16915995,5861,6.744533947,7535,8.670886076,7589,8.733026467,2355,2.710011507,7777,8.949367089,PDENDC454_23209,"""unassigned_transcript_1113""; db_xref ""NCBI_GP:EHQ59866.1""; gbkey ""CDS""; locus_tag ""PDENDC454_23209""; note ""COG1082 Sugar phosphate isomerases/epimerases""; product ""xylose isomerase""; protein_id ""EHQ59866.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000096.1,24471,25010,539,21757,40.36549165,20558,38.14100186,26703,49.54174397,18496,34.31539889,46234,85.77736549,30168,55.9703154,10722,19.89239332,12316,22.84972171,30122,55.88497217,14666,27.2096475,13865,25.72356215,7633,14.16141002,PDENDC454_23214,"""unassigned_transcript_1114""; db_xref ""NCBI_GP:EHQ59867.1""; gbkey ""CDS""; locus_tag ""PDENDC454_23214""; note ""COG1595 DNA-directed RNA polymerase specialized sigma subunit, sigma24 homolog""; product ""ECF subfamily RNA polymerase sigma-24 subunit""; protein_id ""EHQ59867.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000096.1,25006,25317,311,6679,21.47588424,12425,39.95176849,8945,28.76205788,10109,32.50482315,19901,63.9903537,17129,55.07717042,7009,22.53697749,7580,24.37299035,12602,40.52090032,7879,25.33440514,5879,18.90353698,4462,14.34726688,PDENDC454_23219,"""unassigned_transcript_1115""; db_xref ""NCBI_GP:EHQ59868.1""; gbkey ""CDS""; locus_tag ""PDENDC454_23219""; product ""hypothetical protein""; protein_id ""EHQ59868.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000096.1,25317,26840,1523,45936,30.16152331,48515,31.85489166,50260,33.0006566,48850,32.07485227,109849,72.12672357,61239,40.20945502,25779,16.92646093,33836,22.21667761,64537,42.37491793,28206,18.52002626,33397,21.92843073,23440,15.3906763,PDENDC454_23224,"""unassigned_transcript_1116""; db_xref ""NCBI_GP:EHQ59869.1""; gbkey ""CDS""; locus_tag ""PDENDC454_23224""; note ""COG0457 FOG: TPR repeat""; product ""hypothetical protein""; protein_id ""EHQ59869.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000095.1,69,290,221,604,2.733031674,674,3.049773756,1026,4.642533937,182,0.823529412,1436,6.497737557,868,3.92760181,505,2.285067873,1443,6.529411765,2822,12.76923077,865,3.914027149,392,1.773755656,1325,5.995475113,PDENDC454_23044,"""unassigned_transcript_1117""; db_xref ""NCBI_GP:EHQ59870.1""; gbkey ""CDS""; locus_tag ""PDENDC454_23044""; product ""hypothetical protein""; protein_id ""EHQ59870.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000095.1,349,885,536,983,1.833955224,1110,2.070895522,968,1.805970149,905,1.688432836,1015,1.893656716,836,1.559701493,1768,3.298507463,1120,2.089552239,498,0.929104478,1476,2.753731343,199,0.371268657,578,1.078358209,PDENDC454_23049,"""unassigned_transcript_1118""; db_xref ""NCBI_GP:EHQ59871.1""; gbkey ""CDS""; locus_tag ""PDENDC454_23049""; note ""COG0406 Fructose-2,6-bisphosphatase""; product ""phosphoglycerate mutase""; protein_id ""EHQ59871.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000095.1,1221,2729,1508,109652,72.71352785,92741,61.49933687,87920,58.30238727,189077,125.382626,415884,275.7851459,240766,159.6591512,53786,35.66710875,25906,17.17904509,72357,47.98209549,75013,49.7433687,59797,39.65318302,50454,33.45755968,PDENDC454_23054,"""unassigned_transcript_1119""; db_xref ""NCBI_GP:EHQ59872.1""; gbkey ""CDS""; locus_tag ""PDENDC454_23054""; note ""COG1053 Succinate dehydrogenase/fumarate reductase, flavoprotein subunit""; product ""fumarate reductase flavoprotein subunit""; protein_id ""EHQ59872.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000095.1,2843,4054,1211,4511,3.725020644,6439,5.317093311,6696,5.529314616,3070,2.535094963,10912,9.01073493,4446,3.671345995,2255,1.86209744,1921,1.58629232,3385,2.79521057,5065,4.182493807,2603,2.149463254,4951,4.08835673,PDENDC454_23059,"""unassigned_transcript_1120""; db_xref ""NCBI_GP:EHQ59873.1""; gbkey ""CDS""; locus_tag ""PDENDC454_23059""; note ""COG1972 Nucleoside permease""; product ""nucleoside permease""; protein_id ""EHQ59873.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000095.1,4176,5129,953,4144,4.348373557,1875,1.967471144,4236,4.444910808,2123,2.227701994,4777,5.012591815,2164,2.270724029,1445,1.516264428,588,0.616998951,1772,1.859391396,2493,2.615949633,792,0.831059811,1655,1.736621196,PDENDC454_23064,"""unassigned_transcript_1121""; db_xref ""NCBI_GP:EHQ59874.1""; gbkey ""CDS""; locus_tag ""PDENDC454_23064""; note ""COG1957 Inosine-uridine nucleoside N-ribohydrolase; overlaps another CDS with the same product name""; product ""inosine/uridine-preferring nucleoside hydrolase""; protein_id ""EHQ59874.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000095.1,5132,6079,947,6106,6.447729673,7741,8.174234424,5280,5.575501584,4789,5.057022175,9872,10.42449842,4977,5.255543823,6079,6.419218585,2118,2.236536431,4449,4.697993664,3310,3.495248152,1681,1.775079197,3495,3.690601901,PDENDC454_23069,"""unassigned_transcript_1122""; db_xref ""NCBI_GP:EHQ59875.1""; gbkey ""CDS""; locus_tag ""PDENDC454_23069""; note ""COG1957 Inosine-uridine nucleoside N-ribohydrolase; overlaps another CDS with the same product name""; product ""inosine/uridine-preferring nucleoside hydrolase""; protein_id ""EHQ59875.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000095.1,6432,7340,908,874,0.962555066,0,0,782,0.86123348,199,0.219162996,467,0.514317181,98,0.107929515,96,0.105726872,682,0.751101322,0,0,0,0,490,0.539647577,86,0.094713656,PDENDC454_23074,"""unassigned_transcript_1123""; db_xref ""NCBI_GP:EHQ59876.1""; gbkey ""CDS""; locus_tag ""PDENDC454_23074""; note ""COG1715 Restriction endonuclease""; product ""restriction endonuclease""; protein_id ""EHQ59876.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000095.1,7375,8226,851,1192,1.400705053,934,1.097532315,3885,4.565217391,387,0.454759107,1559,1.831962397,975,1.145710928,883,1.03760282,199,0.233842538,714,0.839012926,1513,1.777908343,0,0,595,0.699177438,PDENDC454_23079,"""unassigned_transcript_1124""; db_xref ""NCBI_GP:EHQ59877.1""; gbkey ""CDS""; locus_tag ""PDENDC454_23079""; note ""COG0551 Zn-finger domain associated with topoisomerase type I""; product ""hypothetical protein""; protein_id ""EHQ59877.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000095.1,9728,10282,554,20277,36.60108303,12968,23.40794224,11279,20.35920578,8598,15.5198556,17989,32.47111913,9620,17.36462094,4129,7.453068592,6714,12.11913357,15492,27.96389892,5840,10.54151625,2606,4.703971119,3874,6.992779783,PDENDC454_23094,"""unassigned_transcript_1125""; db_xref ""NCBI_GP:EHQ59878.1""; gbkey ""CDS""; locus_tag ""PDENDC454_23094""; product ""hypothetical protein""; protein_id ""EHQ59878.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000095.1,10508,11515,1007,41952,41.66037736,45274,44.959285,24592,24.42105263,18108,17.98212512,32674,32.4468719,26082,25.90069513,31194,30.97715988,24836,24.6633565,42547,42.25124131,27052,26.86395233,17670,17.54716981,14546,14.4448858,PDENDC454_23099,"""unassigned_transcript_1126""; db_xref ""NCBI_GP:EHQ59879.1""; gbkey ""CDS""; locus_tag ""PDENDC454_23099""; product ""GUN4 domain protein""; protein_id ""EHQ59879.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000095.1,12045,14252,2207,56296,25.50792932,51379,23.28001812,40311,18.2650657,34527,15.64431355,79591,36.06298142,41041,18.59583145,39580,17.93384685,42797,19.39148165,59399,26.91391029,41183,18.66017218,40788,18.48119619,26660,12.07974626,PDENDC454_23104,"""unassigned_transcript_1127""; db_xref ""NCBI_GP:EHQ59880.1""; gbkey ""CDS""; locus_tag ""PDENDC454_23104""; note ""COG1204 Superfamily II helicase""; product ""helicase conserved C-terminal domain protein""; protein_id ""EHQ59880.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000095.1,14248,15201,953,16720,17.54459601,15116,15.86149003,23704,24.87303253,10868,11.40398741,26107,27.39454355,19618,20.58551941,17523,18.38719832,12873,13.50786988,27244,28.58761805,15084,15.82791186,13817,14.49842602,7288,7.647429171,PDENDC454_23109,"""unassigned_transcript_1128""; db_xref ""NCBI_GP:EHQ59881.1""; gbkey ""CDS""; locus_tag ""PDENDC454_23109""; product ""hypothetical protein""; protein_id ""EHQ59881.1""; transl_table ""11""; exon_number ""1"";"
AHKH01000095.1,15477,15983,506,6643,13.1284585,2993,5.915019763,3227,6.377470356,2649,5.235177866,5726,11.31620553,2704,5.343873518,3001,5.93083004,3998,7.901185771,1893,3.741106719,6296,12.44268775,3500,6.916996047,2911,5.752964427,PDENDC454_23114,"""unassigned_transcript_1129""; db_xref ""NCBI_GP:EHQ59882.1""; gbkey ""CDS""; locus_tag ""PDENDC454_23114""; note ""COG1473 Metal-dependent amidase/aminoacylase/carboxypeptidase""; product ""putative peptidase""; protein_id ""EHQ59882.1""; transl_table ""11""; exon_number ""1"";"
